,t,RoadType,ObservedCount,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,VehicleClass_Heavy,VehicleClass_Medium,VehicleClass_Light,FuelType_Diesel,FuelType_Unknown,FuelType_Gasoline,FuelType_Flexible,Vocation_LongHaul,Vocation_Regional,Vocation_Local,Vocation_HubAndSpoke,Vocation_DoorToDoor,NAICS_code_48,NAICS_code_44,NAICS_code_49,NAICS_code_42,NAICS_code_81,NAICS_code_23,NAICS_code_54,NAICS_code_56,NAICS_code_53,NAICS_code_31,NAICS_code_33,NAICS_code_45,NAICS_code_22,NAICS_code_92
17,5,trunk,1521.3,110.3,110.9,141.1,122.2,134.1,129.2,116.3,141.6,126.3,139.0,130.2,120.1,607.9,251.8,632.0,674.9,201.3,528.9,104.8,103.0,293.9,699.4,191.8,26.3,288.9,70.7,27.4,163.6,41.2,196.3,98.6,180.2,40.6,132.1,72.9,21.0,117.9,9.9
18,6,motorway,12933.6,932.2,906.6,1143.4,991.6,1152.2,1169.9,1046.5,1190.5,1065.9,1161.5,1111.5,1061.8,6015.4,2445.6,4257.2,7000.4,1456.1,3875.6,567.8,2095.7,3300.1,4026.8,1448.5,244.4,3958.8,763.3,350.3,1734.1,445.6,1419.2,710.4,1209.6,374.1,372.6,624.3,164.0,179.4,24.5
19,6,primary,1782.6,131.7,128.1,158.9,136.3,162.2,161.5,139.9,167.8,149.4,161.9,150.2,134.1,572.0,345.7,819.4,676.9,206.4,764.6,122.9,92.5,334.9,842.3,241.5,54.4,312.5,103.8,19.0,220.9,61.3,248.1,139.3,222.6,55.8,90.9,97.2,29.5,60.1,18.9
20,6,trunk,2809.5,201.3,200.1,251.1,217.2,257.8,252.3,222.4,253.6,227.1,254.3,248.8,223.4,895.3,518.4,1332.1,1080.9,325.8,1188.5,205.1,154.9,552.8,1314.1,334.8,98.1,472.8,143.5,38.9,364.7,97.0,373.6,188.9,388.8,97.2,156.1,173.2,45.0,99.5,29.4
21,7,motorway,13830.8,1003.5,958.4,1221.0,1097.7,1222.8,1260.7,1137.8,1276.9,1116.6,1204.6,1175.8,1155.0,5822.5,2956.1,4821.9,7048.8,1623.7,4429.7,706.0,2170.6,3229.0,4412.3,1755.4,288.2,4006.4,891.2,407.1,1838.2,491.0,1225.2,865.1,1583.6,500.2,357.3,624.3,176.9,107.6,31.4
22,7,primary,2444.3,182.4,179.9,221.8,192.4,219.1,220.1,197.3,230.0,196.5,216.9,202.9,184.4,749.0,498.2,1146.3,926.5,272.3,1060.0,172.3,126.1,394.1,1096.0,410.1,90.9,406.9,179.4,36.2,288.1,93.5,284.0,171.2,389.3,83.2,103.2,103.2,40.2,51.8,55.0
23,7,trunk,3489.3,259.8,251.4,311.0,274.8,313.5,321.3,284.0,322.3,283.6,307.5,290.9,269.3,1101.2,696.5,1623.7,1354.1,402.5,1453.7,269.7,195.0,613.3,1561.1,532.6,127.6,614.7,244.4,58.4,406.4,166.5,369.6,254.7,550.8,158.3,151.3,166.2,57.4,51.7,35.6
24,8,motorway,14317.2,1019.9,978.0,1275.3,1116.1,1274.6,1264.2,1162.5,1315.9,1170.6,1287.9,1236.7,1215.3,6422.4,2906.8,4769.6,7569.3,1720.2,4221.5,784.0,2594.5,3224.2,4118.0,2034.0,258.4,4368.5,1014.6,475.1,1885.9,560.9,1311.6,723.8,1367.3,611.9,393.5,488.4,189.4,75.8,40.4
25,8,primary,2756.0,214.0,202.7,257.3,211.8,242.4,240.5,214.1,253.7,221.6,247.9,232.0,217.8,880.5,586.9,1235.0,1104.9,328.4,1109.3,201.6,168.1,433.2,1124.4,534.4,105.4,510.3,231.2,54.7,365.4,121.4,288.9,148.1,342.8,97.5,114.0,93.7,45.4,64.5,61.0
26,8,trunk,3807.4,290.7,274.5,343.9,290.6,333.9,330.4,300.2,347.0,314.2,345.3,328.5,308.2,1299.2,772.6,1654.1,1624.6,435.7,1433.1,301.5,246.1,648.9,1563.1,680.6,151.8,772.2,301.0,71.7,457.5,214.6,371.1,196.8,452.7,188.0,185.3,139.9,64.4,68.5,47.8
